#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20090125 175431.428;7;;;;;Sommital;0;0;WGS84;THS
20090125 180032.257;9;;;;;Sommital;0;0;WGS84;THS
20090125 181906.0;26;;;;;Sommital;0;0;WGS84;THS
20090125 191457.428;6;;;;;Sommital;0;0;WGS84;THS
20090125 225514.971;5;;;;;Sommital;0;0;WGS84;THS
20090125 235638.171;4;;;;;Sommital;0;0;WGS84;THS
20090126 000022.399;47;;;;;Sommital;0;0;WGS84;THS
20090126 002021.342;17;;;;;Sommital;0;0;WGS84;THS
20090126 010359.885;7;;;;;Sommital;0;0;WGS84;THS
20090126 101015.742;8;;;;;Sommital;0;0;WGS84;THS
20090126 120037.922;58;;;;;Effondrement;0;0;WGS84;THS
20090126 120712.64;78;;;;;Effondrement;0;0;WGS84;THS
20090126 212839.371;4;;;;;Sommital;0;0;WGS84;THS
20090127 020631.314;8;;;;;Local;0;0;WGS84;VF
20090127 052324.57;15;;;;;Sommital;0;0;WGS84;VF
20090127 054402.628;19;;;;;Sommital;0;0;WGS84;VF
20090127 061255.917;65;;;;;Effondrement;0;0;WGS84;VF
20090127 191309.828;7;;;;;Sommital;0;0;WGS84;VF
20090128 011917.644;31;;;;;Sommital;0;0;WGS84;VF
20090129 033531.514;5;;;;;Sommital;0;0;WGS84;VF
20090129 033747.514;12;;;;;Sommital;0;0;WGS84;VF
20090129 132319.828;9;;;;;Sommital;0;0;WGS84;VF
20090129 134133.800;15;;;;;Sommital;0;0;WGS84;VF
20090129 195206.371;5;;;;;Sommital;0;0;WGS84;VF
20090130 173844.628;4;;;;;Sommital;0;0;WGS84;VF
20090130 185308.342;8;;;;;Sommital;0;0;WGS84;VF
20090130 185652.600;9;;;;;Sommital;0;0;WGS84;VF
20090130 185925.742;20;;;;;Sommital;0;0;WGS84;VF
20090130 223638.632;43;;;;;Effondrement;0;0;WGS84;VF
20090130 234705.971;7;;;;;Sommital;0;0;WGS84;VF
20090131 021003.399;5;;;;;Sommital;0;0;WGS84;VF
20090131 180941.628;5;;;;;Sommital;0;0;WGS84;VF
20090131 220830.28;5;;;;;Sommital;0;0;WGS84;VF
20090201 005710.857;14;;;;;Sommital;0;0;WGS84;VF
20090201 015354.57;6;;;;;Sommital;0;0;WGS84;VF
20090201 024227.0;8;;;;;Sommital;0;0;WGS84;VF
20090201 025145.714;6;;;;;Sommital;0;0;WGS84;VF
20090201 030247.542;11;;;;;Sommital;0;0;WGS84;VF
20090201 051812.742;4;;;;;Sommital;0;0;WGS84;VF
20090201 051818.257;3;;;;;Sommital;0;0;WGS84;VF
20090201 055130.85;16;;;;;Sommital;0;0;WGS84;VF
20090201 103839.257;5;;;;;Sommital;0;0;WGS84;VF
20090201 105448.0;8;;;;;Sommital;0;0;WGS84;VF
20090201 144230.228;6;;;;;Sommital;0;0;WGS84;VF
20090201 164552.285;5;;;;;Sommital;0;0;WGS84;VF
20090201 233420.971;5;;;;;Sommital;0;0;WGS84;VF
20090202 013252.85;25;;;;;Sommital;0;0;WGS84;VF
20090202 035034.457;5;;;;;Sommital;0;0;WGS84;VF
20090202 044218.485;4;;;;;Sommital;0;0;WGS84;VF
20090202 052749.285;5;;;;;Sommital;0;0;WGS84;VF
20090202 064835.828;6;;;;;Sommital;0;0;WGS84;VF
20090202 085324.571;4;;;;;Sommital;0;0;WGS84;VF
20090202 091615.657;4;;;;;Sommital;0;0;WGS84;VF
20090202 115330.971;4;;;;;Sommital;0;0;WGS84;VF
20090202 130618.800;4;;;;;Sommital;0;0;WGS84;VF
