NOM,LATITUDE,LONGITUDE,ELEV,NET,DATEDEB,HDEB,DATEFIN,HFIN
MBDF,44.727,6.771,1.52,LDG,1970/01/00,00:00:00.0,2009/12/31,11:09:45.0
MTLF,43.341,2.218,0.365,LDG,1970/01/00,00:00:00.0,2009/12/31,10:52:08.0
ORIF,44.918,5.88,1.082,LDG,1970/01/00,00:00:00.0,2009/12/31,11:09:50.0
RJF,45.304,1.516,0.41,LDG,1970/01/00,00:00:00.0,2009/12/31,10:51:54.0
SBF,43.863,7.435,0.847,LDG,1970/01/00,00:00:00.0,2009/12/31,10:50:51.0
SFTF,48.205,5.038,0.399,LDG,1970/01/00,00:00:00.0,2009/12/31,11:09:35.0
SGMF,48.254,-2.557,0.23,LDG,1970/01/00,00:00:00.0,2009/12/31,07:07:40.0
SMF,46.645,3.841,0.459,LDG,1970/01/00,00:00:00.0,2009/12/31,11:10:17.0
VIVF,44.856,4.673,0.62,LDG,1970/01/00,00:00:00.0,2009/12/31,11:10:12.0
LPL,45.516,6.732,2.07,LDG,1970/01/00,00:00:00.0,2016/04/17,01:09:02.0
PAR,48.809,2.494,0.047,PAR,1970/02/19,05:44:36.00,1963/07/28,06:00:06.00
OMC,44.552,8.956,0,LDGS,1970/06/13,23:21:01.1,1974/11/16,13:34:19.0
MZF,46.216,2.584,0.48,LDG,1970/09/25,21:45:39.2,1987/01/07,03:26:15.0
MLSS,42.958,1.083,0,LDGS,1971/01/04,22:09:32.0,1987/05/28,23:02:15.0
POU,46.614,4.365,0.327,LDG,1971/01/15,02:56:13.7,1972/09/08,01:53:58.7
SSB,45.279,4.542,0.7,CFF,1971/01/22,16:57:47.0,2009/12/31,10:50:52.0
UZHS,48.633,22.3,0,LDGS,1971/07/15,01:35:37.0,1971/07/15,01:35:37.0
SER,45.977,2.43,0.71,LDG,1971/09/03,21:34:03.0,1973/04/20,20:52:58.0
ALXS,44.688,8.031,0,LDGS,1971/10/09,23:45:49.6,1974/11/18,06:12:32.0
VERS,44.242,7.53,0,LDGS,1971/12/07,00:02:37.2,1977/08/09,19:45:05.0
CGPS,43.568,6.717,0,LDGS,1972/03/02,08:06:46.5,1972/10/05,19:42:35.3
MLS,42.956,1.095,0.45,OMPT,1973/01/06,02:07:30.4,2009/12/30,19:58:30.0
ROAS,44.268,7.455,0,LDGS,1973/01/16,22:13:58.0,1975/07/11,01:13:33.0
SMM,48.215,7.158,0,STR,1973/02/22,06:48:40.0,1974/11/14,17:09:48.0
LINS,45.871,8.997,0,LDGS,1973/04/25,08:38:23.0,1974/08/02,10:59:10.0
SGR,47.709,-0.917,0.09,PAR,1973/09/19,23:30:29.0,1981/09/28,01:42:58.0
CVF,42.568,8.869,0.53,LDG,1974/04/06,06:22:56.0,1989/11/15,22:00:56.0
SIES,46.347,7.486,0,LDGS,1974/04/15,21:49:51.0,1975/11/26,07:26:53.0
BAF,47.834,6.995,1.025,STR,1974/10/06,08:31:34.0,1984/03/09,08:15:06.0
ECH,48.216,7.158,0.58,STR,1975/01/11,15:55:23.0,2009/12/31,10:50:43.0
DAVS,46.86,9.849,0,LDGS,1975/07/17,22:38:26.0,1975/11/26,07:27:37.0
SBRI,46.759,8.073,0,LDGS,1975/07/17,22:38:28.0,1999/08/15,23:57:24.0
WILS,47.441,8.956,0,LDGS,1975/07/18,21:34:29.0,2000/05/25,00:48:00.0
BOYS,44.14,8.22,0,LDGS,1977/04/09,10:58:05.0,1977/07/18,22:46:32.0
PYF,43.03,0.34,0.75,OMPT,1977/07/14,20:43:21.0,1977/07/26,22:03:12.0
ARTL,43.456,-0.588,0.21,STR,1977/09/07,22:50:43.0,1997/12/06,20:33:03.0
LACL,43.435,-0.727,0.195,STR,1977/09/07,22:50:44.0,1997/12/06,20:33:04.0
LDBL,43.319,-0.614,0.25,STR,1977/09/07,22:50:42.0,1997/12/06,20:33:03.0
HUT,46.003,-1.384,0,LDGS,1977/10/13,02:32:39.0,1977/10/13,03:59:11.0
TJB,45.829,-1.209,0,LDGS,1977/10/13,02:32:40.0,1977/10/13,03:59:12.0
