NOM,LATITUDE,LONGITUDE,ELEV,NET,DATEDEB,HDEB,DATEFIN,HFIN
STET,44.259,6.929,1.2,AZUR,2001/01/05,14:27:26.0,2008/04/22,20:05:39.0
CALF,43.752,6.922,1.242,AZUR,2001/01/05,14:27:20.0,2008/12/27,04:42:35.0
RUSF,43.941,5.484,0.55,AZUR,2001/01/05,14:27:18.0,2009/01/21,17:43:08.0
ARBF,43.492,5.332,0.185,STR,2001/01/12,10:41:41.0,2008/10/24,03:07:31.0
SMPL,42.094,9.285,0.404,??,2001/02/09,00:49:10.0,2008/02/20,04:06:04.0
MONA,43.73,7.425,0.02,AZUR,2001/02/25,18:34:48.0,2008/08/11,06:16:36.0
CHIF,46.133,-0.408,0.062,STR,2001/02/28,05:29:54.0,2009/02/28,20:20:16.0
MEZF,48.502,5.052,0.245,LDG,2002/02/15,16:15:56.0,2009/12/31,10:51:07.0
RFYF,48.629,5.474,0.33,LDG,2002/08/21,08:49:37.0,2008/09/10,19:56:18.0
LRDF,42.938,2.539,0.4,STR,2003/04/09,11:43:56.0,2009/12/07,14:24:51.0
CEBR,40.822,0.486,0.06,OMPT,2003/05/31,21:05:32.0,2004/11/08,14:24:17.0
FRNF,45.386,2.562,0.67,CFF,2004/02/13,15:53:35.0,2009/12/24,22:54:28.0
VERF,45.749,2.484,0.776,CFF,2004/02/13,15:45:43.0,2009/12/24,22:54:18.0
STOF,43.998,5.909,0.65,STR,2004/10/13,01:38:48.0,2009/12/29,03:46:17.0
ANTF,43.564,7.123,0.054,AZUR,2005/01/05,08:26:13.0,2008/12/27,04:42:34.0
CAGN,43.667,7.146,0.097,??,2005/03/25,23:19:44.0,2008/12/16,17:12:17.0
MENA,43.784,7.489,0.21,??,2005/03/25,23:19:43.0,2008/12/27,04:42:36.0
NROC,43.716,7.293,0.022,??,2005/03/25,23:19:44.0,2008/12/27,04:42:33.0
ESCA,43.831,7.374,0.55,??,2005/05/20,01:37:18.0,2008/12/27,04:42:31.0
CORF,42.298,9.153,0.475,STR,2005/07/15,19:36:19.0,2007/08/20,17:13:35.0
CBBF,44.597,6.855,1.99,GRN,2005/10/01,23:19:51.0,2006/01/25,01:40:24.0
OGAG,44.788,6.541,1.28,GRN,2005/10/02,07:04:26.0,2006/12/29,06:03:33.0
OGDI,44.11,6.217,0.72,GRN,2006/01/02,22:07:28.0,2008/02/27,00:59:11.0
LUCF,43.892,7.346,1.087,STR,2006/05/18,03:51:55.0,2009/12/19,04:50:04.0
NALS,43.699,7.258,0.006,??,2007/11/09,03:15:03.0,2008/10/24,03:07:02.0
NCAD,43.671,7.2,0.005,??,2007/11/09,03:15:04.0,2008/10/24,03:07:03.0
NLIB,43.71,7.264,0.018,??,2007/11/09,03:15:03.0,2008/12/16,17:12:21.0
FNEB,42.904,2.108,0.578,??,2008/02/15,07:34:28.0,2009/12/23,21:14:05.0
OG35,46.044,5.571,0.9,GRN,2008/04/14,23:54:14.0,2009/12/31,10:50:24.0
PAGF,48.555,5.725,0.384,LDG,2008/06/03,10:24:42.0,2009/12/31,10:51:00.0
LEPF,43.523,5.702,0.345,AZUR,2009/01/21,17:42:54.0,2009/12/29,03:46:08.0
CLF,48.017,2.267,0,LDG,2009/05/05,01:40:22.0,2009/12/21,21:03:35.0
FMON,43.063,0.416,0.647,??,2009/10/15,22:27:56.0,2009/11/17,15:10:20.0
