#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20140529 092831.08;7,12;;;;;Effondrement;;0;WGS84;AP
20140529 084958.24;6,4;;;;;Effondrement;;0;WGS84;AP
20140529 084818.24;6,36;;;;;Effondrement;;0;WGS84;AP
20140529 080900.00;5,32;0.59793812;55.717992;-21.243988;-0.29355469;Sommital;2014/05/29/ovpf2014klap;1;WGS84;AP
20140529 041322.76;4,72;;;;;Effondrement;;0;WGS84;AP
20140529 040621.44;6,44;;;;;Effondrement;;0;WGS84;AP
20140529 034426.80;7;;;;;Effondrement;;0;WGS84;AP
20140529 032037.76;5,68;;;;;Effondrement;;0;WGS84;AP
20140529 015736.00;7,28;;;;;Effondrement;;0;WGS84;AP
20140529 013947.76;6,2;;;;;Effondrement;;0;WGS84;AP
20140529 012436.84;6,16;;;;;Effondrement;;0;WGS84;AP
20140529 010408.80;4,04;;;;;Effondrement;;0;WGS84;AP
20140529 010213.48;5,04;;;;;Effondrement;;0;WGS84;AP
20140528 235428.88;3,68;;;;;Sommital;;0;WGS84;VF
20140528 235018.52;9,32;;;;;Effondrement;;0;WGS84;AP
20140528 232643.92;5,2;;;;;Effondrement;;0;WGS84;AP
20140528 231747.56;5,2;;;;;Effondrement;;0;WGS84;AP
20140528 224842.20;7,48;;;;;Effondrement;;0;WGS84;AP
20140528 223118.84;7,56;;;;;Effondrement;;0;WGS84;AP
20140528 215317.00;5,96;;;;;Effondrement;;0;WGS84;AP
20140528 214053.04;5,12;;;;;Effondrement;;0;WGS84;AP
20140528 212135.56;5,56;;;;;Effondrement;;0;WGS84;AP
20140528 212007.72;8,24;;;;;Effondrement;;0;WGS84;AP
20140528 203738.72;5,36;;;;;Effondrement;;0;WGS84;AP
20140528 195508.60;4,52;;;;;Effondrement;;0;WGS84;AP
20140528 194601.40;3,56;;;;;Effondrement;;0;WGS84;AP
20140528 193005.96;7,64;;;;;Effondrement;;0;WGS84;AP
20140528 174955.76;5,68;;;;;Effondrement;;0;WGS84;AP
20140528 172859.96;6,52;;;;;Effondrement;;0;WGS84;AP
20140528 162506.56;9,12;;;;;Effondrement;;0;WGS84;AP
20140528 155444.84;7,08;;;;;Effondrement;;0;WGS84;AP
20140528 153858.68;6,6;;;;;Effondrement;;0;WGS84;AP
20140528 143257.96;5,92;;;;;Effondrement;;0;WGS84;AP
20140528 141305.44;7,72;;;;;Effondrement;;0;WGS84;VF
20140528 140532.64;5,4;;;;;Effondrement;;0;WGS84;AP
20140528 134944.60;6,4;;;;;Effondrement;;0;WGS84;AP
20140528 134904.68;6,24;;;;;Effondrement;;0;WGS84;AP
20140528 134333.80;2,8;;;;;Effondrement;;0;WGS84;AP
20140528 132453.24;6,24;;;;;Effondrement;;0;WGS84;AP
20140528 132003.36;6,16;;;;;Effondrement;;0;WGS84;AP
20140528 113714.40;5,96;;;;;Effondrement;;0;WGS84;AP
20140528 112101.08;5,56;;;;;Effondrement;;0;WGS84;AP
20140528 104746.80;3,84;;;;;Effondrement;;0;WGS84;AP
20140528 100831.56;4,32;;;;;Effondrement;;0;WGS84;AP
20140528 091408.16;6,52;;;;;Effondrement;;0;WGS84;AP
20140528 080443.32;5,64;;;;;Effondrement;;0;WGS84;AP
20140528 075854.24;5,6;;;;;Effondrement;;0;WGS84;AP
20140528 075123.32;6,88;;;;;Effondrement;;0;WGS84;AP
20140528 062010.40;6,72;;;;;Effondrement;;0;WGS84;AP
20140528 054340.92;6,24;;;;;Effondrement;;0;WGS84;AP
20140528 052947.96;5,24;;;;;Effondrement;;0;WGS84;AP
20140528 045525.96;4,48;;;;;Effondrement;;0;WGS84;AP
20140528 043147.36;4,52;;;;;Effondrement;;0;WGS84;AP
20140528 042639.84;5,52;;;;;Effondrement;;0;WGS84;AP
20140528 032627.40;4,28;;;;;Effondrement;;0;WGS84;AP
20140528 024052.16;4,24;;;;;Effondrement;;0;WGS84;AP
20140528 020833.16;7,48;;;;;Effondrement;;0;WGS84;VF
20140528 020603.28;6,44;;;;;Effondrement;;0;WGS84;AP
20140528 010255.76;8,32;;;;;Effondrement;;0;WGS84;AP
20140528 005320.40;4,36;;;;;Effondrement;;0;WGS84;AP
20140527 234331.96;9,6;;;;;Effondrement;;0;WGS84;AP
20140527 233907.00;7,2;;;;;Effondrement;;0;WGS84;AP
20140527 211710.00;9,36;;;;;Effondrement;;0;WGS84;AP
20140527 195648.32;5,72;;;;;Effondrement;;0;WGS84;AP
20140527 195254.36;4,88;;;;;Effondrement;;0;WGS84;AP
20140527 194055.72;5,4;;;;;Effondrement;;0;WGS84;AP
20140527 193758.60;5,44;;;;;Effondrement;;0;WGS84;AP
20140527 192657.04;5,32;;;;;Effondrement;;0;WGS84;AP
20140527 155601.60;6,08;;;;;Effondrement;;0;WGS84;AP
20140527 154633.12;8,08;;;;;Effondrement;;0;WGS84;AP
20140527 140623.08;7,8;0.5776978;55.432349;-20.95768;8.6976562;Local;2014/05/28/ovpf2014khvj;1;WGS84;VF
20140527 124213.96;4,76;;;;;Effondrement;;0;WGS84;AP
20140527 111015.36;6,4;;;;;Effondrement;;0;WGS84;AP
20140527 100006.04;5,28;;;;;Effondrement;;0;WGS84;AP
20140527 093033.96;3,64;;;;;Effondrement;;0;WGS84;AP
20140527 092145.20;3,88;;;;;Effondrement;;0;WGS84;AP
20140527 090712.44;4,4;;;;;Effondrement;;0;WGS84;AP
20140527 083517.00;7,44;;;;;Effondrement;;0;WGS84;AP
20140527 062220.80;8,28;;;;;Effondrement;;0;WGS84;AP
20140527 060519.68;11,68;;;;;Effondrement;;0;WGS84;VF
20140527 055358.04;4,64;;;;;Effondrement;;0;WGS84;AP
20140527 054729.24;7,64;;;;;Effondrement;;0;WGS84;AP
20140527 050242.04;5,6;;;;;Effondrement;;0;WGS84;AP
20140527 042531.76;4,36;;;;;Effondrement;;0;WGS84;AP
20140527 033547.92;4,4;;;;;Effondrement;;0;WGS84;AP
20140527 025607.92;3,84;;;;;Effondrement;;0;WGS84;PHK
20140527 010602.92;6,12;;;;;Effondrement;;0;WGS84;PHK
20140527 002330.52;3,68;;;;;Effondrement;;0;WGS84;PHK
20140526 221832.04;5,56;;;;;Effondrement;;0;WGS84;PHK
20140526 205016.44;6,52;;;;;Effondrement;;0;WGS84;PHK
20140526 194934.36;36,44;;;;;Effondrement;;0;WGS84;PHK
20140526 170603.64;5,64;;;;;Effondrement;;0;WGS84;PHK
20140526 163145.72;4,48;;;;;Effondrement;;0;WGS84;PHK
20140526 162936.24;5,72;;;;;Effondrement;;0;WGS84;PHK
20140526 161441.36;3,96;;;;;Effondrement;;0;WGS84;PHK
20140526 150512.52;3,2;;;;;Effondrement;;0;WGS84;PHK
20140526 150257.60;7,4;;;;;Effondrement;;0;WGS84;PHK
20140526 150205.72;3,48;;;;;Effondrement;;0;WGS84;PHK
20140526 142158.68;3,64;;;;;Effondrement;;0;WGS84;PHK
20140526 134920.44;21,68;;;;;Effondrement;;0;WGS84;PHK
20140526 132708.44;5,6;;;;;Effondrement;;0;WGS84;PHK
20140526 132008.16;3,64;;;;;Effondrement;;0;WGS84;PHK
20140526 131151.52;4,04;;;;;Effondrement;;0;WGS84;PHK
20140526 125652.00;5,08;;;;;Effondrement;;0;WGS84;PHK
20140526 114125.80;11,6;1.4824598;55.714886;-21.244099;-0.25117187;Sommital;2014/05/26/ovpf2014kfvc;1;WGS84;VF
20140526 113507.16;2,64;;;;;Effondrement;;0;WGS84;PHK
20140526 091345.44;5,56;;;;;Effondrement;;0;WGS84;PHK
20140526 084427.92;4,08;;;;;Effondrement;;0;WGS84;PHK
20140526 082841.40;4,68;;;;;Effondrement;;0;WGS84;PHK
20140526 064735.80;4,56;;;;;Effondrement;;0;WGS84;PHK
20140526 063246.60;4,92;;;;;Effondrement;;0;WGS84;PHK
20140526 050712.92;2,72;;;;;Effondrement;;0;WGS84;PHK
20140526 050244.52;28,44;;;;;Effondrement;;0;WGS84;PHK
20140526 042659.32;2,88;;;;;Effondrement;;0;WGS84;PHK
20140526 041704.12;6,2;;;;;Effondrement;;0;WGS84;PHK
20140526 040017.56;4,4;;;;;Effondrement;;0;WGS84;PHK
20140526 024426.44;5,52;;;;;Effondrement;;0;WGS84;PHK
20140526 013429.04;4,32;;;;;Effondrement;;0;WGS84;PHK
20140526 011325.72;3,88;;;;;Effondrement;;0;WGS84;PHK
20140526 010955.64;6,04;;;;;Effondrement;;0;WGS84;PHK
20140526 005603.24;4,28;;;;;Effondrement;;0;WGS84;PHK
20140526 004803.36;2,08;;;;;Effondrement;;0;WGS84;PHK
20140526 003116.44;4,48;;;;;Effondrement;;0;WGS84;PHK
20140525 231935.20;4,16;;;;;Effondrement;;0;WGS84;PHK
20140525 222929.32;2,44;;;;;Effondrement;;0;WGS84;PHK
20140525 221143.88;5,08;;;;;Effondrement;;0;WGS84;PHK
20140525 213157.96;3;;;;;Effondrement;;0;WGS84;PHK
20140525 205347.88;4;;;;;Effondrement;;0;WGS84;PHK
20140525 195608.20;3,96;;;;;Effondrement;;0;WGS84;PHK
